anthology_id	presentation_id
2020.acl-demos.11	38928613
2020.acl-demos.20	38928598
2020.acl-demos.6	38928604
2020.acl-demos.25	38928591
2020.acl-demos.28	38928614
2020.acl-demos.41	38928607
2020.acl-demos.39	38928605
2020.acl-demos.23	38928593
2020.acl-demos.3	38928592
2020.acl-demos.36	38928612
2020.acl-demos.42	38928608
2020.acl-demos.16	38928611
2020.acl-demos.2	38928594
2020.acl-demos.15	38928595
2020.acl-demos.22	38928606
2020.acl-demos.10	38928610
2020.acl-demos.35	38928623
2020.acl-demos.24	38928624
2020.acl-demos.1	38928588
2020.acl-demos.30	38928589
2020.acl-demos.4	38928586
2020.acl-demos.37	38928587
2020.acl-demos.33	38928585
2020.acl-demos.32	38928622
2020.acl-demos.8	38928583
2020.acl-demos.13	38928618
2020.acl-demos.17	38928625
2020.acl-demos.26	38928584
2020.acl-demos.9	38928619
2020.acl-demos.29	38928617
2020.acl-demos.12	38928621
2020.acl-demos.14	38928620
2020.acl-demos.38	38928616
2020.acl-demos.43	38928615
2020.acl-demos.27	38928590
2020.acl-demos.21	38928609
2020.acl-demos.31	38928601
2020.acl-demos.19	38928597
2020.acl-demos.5	38928596
2020.acl-demos.40	38928599
2020.acl-demos.7	38928600
2020.acl-demos.34	38928603
2020.acl-demos.18	38928602
