anthology_id	presentation_id
2020.acl-main.8	38928984
2020.acl-main.52	38929331
2020.acl-main.46	38929115
2020.acl-main.359	38929436
2020.acl-main.417	38928733
2020.acl-main.371	38929133
2020.acl-main.365	38929048
2020.acl-main.403	38929044
2020.acl-main.91	38929263
2020.acl-main.85	38929083
2020.acl-main.629	38928865
2020.acl-main.173	38929071
2020.acl-main.615	38928899
2020.acl-main.601	38928709
2020.acl-main.167	38929147
2020.acl-main.198	38929181
2020.acl-main.749	38929149
2020.acl-main.761	38928924
2020.acl-main.775	38928960
2020.acl-main.239	38928819
2020.acl-main.563	38929047
2020.acl-main.205	38929395
2020.acl-main.211	38929112
2020.acl-main.577	38928891
2020.acl-main.588	38928780
2020.acl-main.589	38928814
2020.acl-main.210	38929232
2020.acl-main.576	38929356
2020.acl-main.562	38929384
2020.acl-main.204	38928742
2020.acl-main.238	38928878
2020.acl-main.774	38929141
2020.acl-main.760	38929026
2020.acl-main.748	38929206
2020.acl-main.199	38928766
2020.acl-main.600	38928860
2020.acl-main.166	38928875
2020.acl-main.172	38929326
2020.acl-main.614	38928718
2020.acl-main.628	38929064
2020.acl-main.84	38929033
2020.acl-main.90	38929302
2020.acl-main.364	38929006
2020.acl-main.402	38929394
2020.acl-main.416	38928931
2020.acl-main.370	38928809
2020.acl-main.358	38929038
2020.acl-main.47	38928812
2020.acl-main.9	38928777
2020.acl-main.53	38929359
2020.acl-main.45	38928694
2020.acl-main.51	38929089
2020.acl-main.428	38929090
2020.acl-main.400	38929440
2020.acl-main.79	38929254
2020.acl-main.366	38928850
2020.acl-main.372	38929085
2020.acl-main.414	38929306
2020.acl-main.399	38928990
2020.acl-main.86	38929287
2020.acl-main.92	38928951
2020.acl-main.158	38929407
2020.acl-main.164	38928914
2020.acl-main.602	38928927
2020.acl-main.616	38928904
2020.acl-main.170	38928817
2020.acl-main.776	38929446
2020.acl-main.762	38929151
2020.acl-main.548	38928980
2020.acl-main.574	38928929
2020.acl-main.212	38928832
2020.acl-main.206	38929142
2020.acl-main.560	38929069
2020.acl-main.207	38928763
2020.acl-main.561	38929007
2020.acl-main.575	38928957
2020.acl-main.213	38928760
2020.acl-main.549	38928866
2020.acl-main.763	38929186
2020.acl-main.777	38929132
2020.acl-main.617	38928761
2020.acl-main.171	38929283
2020.acl-main.165	38928696
2020.acl-main.603	38928937
2020.acl-main.159	38929385
2020.acl-main.93	38929015
2020.acl-main.87	38929253
2020.acl-main.398	38929121
2020.acl-main.373	38929101
2020.acl-main.415	38928945
2020.acl-main.401	38929427
2020.acl-main.367	38929060
2020.acl-main.78	38929255
2020.acl-main.50	38929386
2020.acl-main.429	38928830
2020.acl-main.44	38928699
2020.acl-main.363	38928965
2020.acl-main.405	38929278
2020.acl-main.411	38929429
2020.acl-main.68	38928912
2020.acl-main.377	38929406
2020.acl-main.40	38928953
2020.acl-main.439	38928972
2020.acl-main.54	38929379
2020.acl-main.83	38928862
2020.acl-main.388	38928751
2020.acl-main.97	38928738
2020.acl-main.607	38929248
2020.acl-main.161	38928796
2020.acl-main.175	38928750
2020.acl-main.613	38929450
2020.acl-main.149	38929401
2020.acl-main.773	38929270
2020.acl-main.767	38929191
2020.acl-main.217	38929284
2020.acl-main.571	38929316
2020.acl-main.565	38929065
2020.acl-main.203	38929199
2020.acl-main.559	38929397
2020.acl-main.558	38929307
2020.acl-main.564	38928992
2020.acl-main.202	38929189
2020.acl-main.216	38928735
2020.acl-main.570	38929411
2020.acl-main.766	38928883
2020.acl-main.772	38929339
2020.acl-main.148	38929037
2020.acl-main.174	38928784
2020.acl-main.612	38928767
2020.acl-main.606	38929300
2020.acl-main.160	38928906
2020.acl-main.96	38929119
2020.acl-main.389	38929104
2020.acl-main.82	38928853
2020.acl-main.55	38928930
2020.acl-main.41	38928801
2020.acl-main.438	38928961
2020.acl-main.410	38929136
2020.acl-main.376	38928747
2020.acl-main.69	38929019
2020.acl-main.362	38929273
2020.acl-main.404	38928894
2020.acl-main.374	38929227
2020.acl-main.412	38929421
2020.acl-main.406	38928725
2020.acl-main.360	38929399
2020.acl-main.57	38929454
2020.acl-main.348	38928739
2020.acl-main.43	38928908
2020.acl-main.94	38928903
2020.acl-main.80	38928986
2020.acl-main.610	38929105
2020.acl-main.176	38929174
2020.acl-main.162	38929163
2020.acl-main.604	38928913
2020.acl-main.638	38928730
2020.acl-main.189	38929087
2020.acl-main.764	38929262
2020.acl-main.770	38929067
2020.acl-main.758	38929341
2020.acl-main.200	38929086
2020.acl-main.566	38928995
2020.acl-main.572	38928952
2020.acl-main.214	38929139
2020.acl-main.228	38929289
2020.acl-main.599	38928861
2020.acl-main.598	38929159
2020.acl-main.229	38928711
2020.acl-main.573	38929363
2020.acl-main.215	38929009
2020.acl-main.201	38928729
2020.acl-main.567	38929216
2020.acl-main.759	38929052
2020.acl-main.771	38929362
2020.acl-main.765	38928837
2020.acl-main.188	38929172
2020.acl-main.639	38928938
2020.acl-main.163	38929001
2020.acl-main.605	38929396
2020.acl-main.611	38929311
2020.acl-main.177	38929277
2020.acl-main.81	38928705
2020.acl-main.95	38928744
2020.acl-main.42	38929355
2020.acl-main.349	38928703
2020.acl-main.56	38929413
2020.acl-main.407	38928781
2020.acl-main.361	38928873
2020.acl-main.375	38929419
2020.acl-main.413	38928820
2020.acl-main.31	38929373
2020.acl-main.448	38929447
2020.acl-main.25	38929268
2020.acl-main.312	38929360
2020.acl-main.474	38929140
2020.acl-main.460	38929183
