anthology_id	presentation_id
2020.acl-srw.35	38928678
2020.acl-srw.26	38928667
2020.acl-srw.38	38928632
2020.acl-srw.41	38928672
2020.acl-srw.37	38928648
2020.acl-srw.13	38928649
2020.acl-srw.30	38928673
2020.acl-srw.34	38928679
2020.acl-srw.33	38928674
2020.acl-srw.9	38928633
2020.acl-srw.27	38928654
2020.acl-srw.29	38928662
2020.acl-srw.32	38928677
2020.acl-srw.42	38928642
2020.acl-srw.11	38928635
2020.acl-srw.5	38928636
2020.acl-srw.2	38928638
2020.acl-srw.1	38928637
2020.acl-srw.36	38928680
2020.acl-srw.7	38928645
2020.acl-srw.4	38928643
2020.acl-srw.6	38928644
2020.acl-srw.17	38928641
2020.acl-srw.12	38928639
2020.acl-srw.3	38928640
2020.acl-srw.40	38928668
2020.acl-srw.22	38928675
2020.acl-srw.39	38928661
2020.acl-srw.23	38928646
2020.acl-srw.31	38928676
2020.acl-srw.10	38928634
2020.acl-srw.19	38928657
2020.acl-srw.18	38928655
2020.acl-srw.16	38928653
2020.acl-srw.15	38928652
2020.acl-srw.25	38928666
2020.acl-srw.20	38928658
2020.acl-srw.28	38928660
2020.acl-srw.14	38928651
2020.acl-srw.8	38928650
2020.acl-srw.43	38928659
2020.acl-srw.24	38928664
