anthology_id	presentation_id
2020.autosimtrans-1.1	38929917
2020.autosimtrans-1.2	38929918
2020.autosimtrans-1.3	38929919
2020.autosimtrans-1.4	38929920
2020.autosimtrans-1.5	38929921
2020.autosimtrans-1.6	38929922
2020.nlpmc-1.1	38929890
2020.nlpmc-1.2	38929893
2020.nlpmc-1.3	38929889
2020.nlpmc-1.4	38929888
2020.nlpmc-1.5	38929887
2020.nlpmc-1.6	38929886
2020.nlpmc-1.7	38929892
2020.nlpmc-1.8	38929891
2020.nlpmc-1.9	38929894
2020.iwpt-1.1	38929668
2020.iwpt-1.2	38929669
2020.iwpt-1.3	38929670
2020.iwpt-1.4	38929671
2020.iwpt-1.5	38929672
2020.iwpt-1.6	38929673
2020.iwpt-1.7	38929674
2020.iwpt-1.8	38929675
2020.iwpt-1.9	38929676
2020.iwpt-1.10	38929677
2020.iwpt-1.11	38929678
2020.iwpt-1.12	38929679
2020.iwpt-1.13	38929680
2020.iwpt-1.14	38929681
2020.iwpt-1.15	38929682
2020.iwpt-1.16	38929683
2020.iwpt-1.17	38929684
2020.iwpt-1.18	38929685
2020.iwpt-1.19	38929686
2020.iwpt-1.20	38929687
2020.iwpt-1.21	38929688
2020.iwpt-1.22	38929689
2020.iwpt-1.23	38929690
2020.iwpt-1.24	38929691
2020.iwpt-1.25	38929692
2020.iwpt-1.26	38929693
2020.repl4nlp-1.1	38929767
2020.repl4nlp-1.2	38929768
2020.repl4nlp-1.3	38929769
2020.repl4nlp-1.4	38929770
2020.repl4nlp-1.5	38929771
2020.repl4nlp-1.6	38929772
2020.repl4nlp-1.7	38929773
2020.repl4nlp-1.8	38929774
2020.repl4nlp-1.9	38929775
2020.repl4nlp-1.10	38929776
2020.repl4nlp-1.11	38929777
2020.repl4nlp-1.12	38929778
2020.repl4nlp-1.13	38929779
2020.repl4nlp-1.14	38929780
2020.repl4nlp-1.15	38929781
2020.repl4nlp-1.16	38929782
2020.repl4nlp-1.17	38929783
2020.repl4nlp-1.18	38929784
2020.repl4nlp-1.19	38929785
2020.repl4nlp-1.20	38929786
2020.repl4nlp-1.21	38929787
2020.repl4nlp-1.22	38929788
2020.repl4nlp-1.23	38929789
2020.nlp4convai-1.1	38929631
2020.nlp4convai-1.2	38929628
2020.nlp4convai-1.3	38929640
2020.nlp4convai-1.4	38929634
2020.nlp4convai-1.5	38929632
2020.nlp4convai-1.7	38929636
2020.nlp4convai-1.8	38929639
2020.nlp4convai-1.9	38929630
2020.nlp4convai-1.10	38929633
2020.nlp4convai-1.11	38929627
2020.nlp4convai-1.12	38929638
2020.nlp4convai-1.13	38929641
2020.nlp4convai-1.14	38929629
2020.nlp4convai-1.15	38929635
2020.alvr-1.1	38929757
2020.alvr-1.2	38929758
2020.alvr-1.3	38929760
2020.alvr-1.5	38929759
2020.bionlp-1.3	38929643
2020.bionlp-1.8	38929649
2020.bionlp-1.9	38929648
2020.bionlp-1.11	38929642
2020.bionlp-1.12	38929646
2020.bionlp-1.14	38929645
2020.bionlp-1.17	38929650
2020.bionlp-1.20	38929644
2020.socialnlp-1.1	38929901
2020.socialnlp-1.2	38929902
2020.socialnlp-1.3	38929903
2020.socialnlp-1.4	38929904
2020.socialnlp-1.5	38929905
2020.socialnlp-1.6	38929907
2020.socialnlp-1.7	38929908
2020.socialnlp-1.8	38929909
2020.challengehml-1.7	38931265
2020.winlp-1.1	38929537
2020.winlp-1.2	38929538
2020.winlp-1.3	38929539
2020.winlp-1.4	38929540
2020.winlp-1.5	38929541
2020.winlp-1.6	38929542
2020.winlp-1.8	38929544
2020.winlp-1.10	38929546
2020.winlp-1.12	38929548
2020.winlp-1.13	38929549
2020.winlp-1.15	38929551
2020.winlp-1.16	38929552
