,papers,doi_papers,explicit_authorships,authorships,solo_authorships,max_authors,verif_authorships,orcid_authorships,orcid_suffix_authorships,uauthors,verif_uauthors,orcid_uauthors,orcid_suffix_uauthors,degree_uauthors,evts,big_evts,vols,doi_vols,pctdoi_papers,pctdoi_vols
*,,,,,,,,,,115594,17444.0,14299.0,608.0,47.0,,,,,,
1952,26.0,0.0,1.0,26.0,24.0,2.0,1.0,,,17,1.0,,,,1.0,,1.0,0.0,0.0,0.0
1956,11.0,0.0,1.0,12.0,8.0,2.0,1.0,,,11,1.0,,,,1.0,,1.0,0.0,0.0,0.0
1957,26.0,0.0,5.0,54.0,19.0,16.0,5.0,,,38,1.0,,,,1.0,,1.0,0.0,0.0,0.0
1960,81.0,0.0,1.0,89.0,57.0,14.0,1.0,,,53,1.0,,,,1.0,,2.0,0.0,0.0,0.0
1961,39.0,0.0,1.0,47.0,30.0,3.0,2.0,,,47,2.0,,,,1.0,,1.0,0.0,0.0,0.0
1962,10.0,0.0,1.0,9.0,9.0,1.0,1.0,,,9,1.0,,,,1.0,,1.0,0.0,0.0,0.0
1963,34.0,0.0,,45.0,27.0,5.0,,,,43,,,,,1.0,,1.0,0.0,0.0,0.0
1965,25.0,0.0,8.0,32.0,18.0,3.0,8.0,,,32,8.0,,,,1.0,,1.0,0.0,0.0,0.0
1967,38.0,0.0,8.0,51.0,27.0,4.0,8.0,,,50,8.0,,,,1.0,,1.0,0.0,0.0,0.0
1969,176.0,0.0,26.0,123.0,72.0,5.0,26.0,2.0,,116,24.0,1.0,,,1.0,1.0,79.0,0.0,0.0,0.0
1971,20.0,0.0,,18.0,16.0,2.0,,,,14,,,,,1.0,,1.0,0.0,0.0,0.0
1973,64.0,0.0,21.0,91.0,40.0,4.0,21.0,,,88,18.0,,,,1.0,,2.0,0.0,0.0,0.0
1974,20.0,0.0,3.0,18.0,7.0,3.0,3.0,,,18,3.0,,,,1.0,,3.0,0.0,0.0,0.0
